timestamp,temp,ac,lights
606,22.03,On,On
607,22.05,On,On
608,22.06,On,On
609,22.07,On,On
610,22.08,On,On
611,22.05,On,On
612,22.03,On,On
613,22.01,On,On
614,22.01,On,On
615,22.05,On,On
616,22.05,On,On
617,22.08,On,On
618,22.08,On,On
619,22.07,On,On
620,22.08,On,On
621,22.11,On,On
622,22.14,On,On
623,22.17,On,On
624,22.17,On,On
625,22.18,On,On
626,22.18,On,On
627,22.17,On,On
628,22.18,On,On
629,22.18,On,On
630,22.19,On,On
631,22.21,On,On
632,22.23,On,On
633,22.24,On,On
634,22.24,On,On
635,22.22,On,On
636,22.23,On,On
637,22.2,On,On
638,22.21,On,On
639,22.19,On,On
640,22.21,On,On
641,22.19,On,On
642,22.21,On,On
643,22.18,On,On
644,22.19,On,On
645,22.22,On,On
646,22.23,On,On
647,22.25,On,On
648,22.22,On,On
649,22.23,On,On
650,22.23,On,On
651,22.24,On,On
652,22.23,On,On
653,22.2,On,On
654,22.16,On,On
655,22.19,On,On
656,22.2,On,On
657,22.17,On,On
658,22.18,On,On
659,22.12,On,On
660,22.14,On,On
661,22.15,On,On
662,22.12,On,On
663,22.09,On,On
664,22.15,On,On
665,22.13,On,On
666,22.13,On,On
667,22.14,On,On
668,22.16,On,On
669,22.17,On,On
670,22.18,On,On
671,22.19,On,On
672,22.21,On,On
673,22.2,On,On
674,22.19,On,On
675,22.19,On,On
676,22.18,On,On
677,22.18,On,On
678,22.17,On,On
679,22.18,On,On
680,22.2,On,On
681,22.22,On,On
682,22.21,On,On
683,22.2,On,On
684,22.22,On,On
685,22.2,On,On
686,22.18,On,On
687,22.19,On,On
688,22.18,On,On
689,22.18,On,On
690,22.19,On,On
691,22.16,On,On
692,22.15,On,On
693,22.16,On,On
694,22.14,On,On
695,22.17,On,On
696,22.18,On,On
697,22.15,On,On
698,22.16,On,On
699,22.15,On,On
700,22.12,On,On
701,22.11,On,On
702,22.1,On,On
703,22.08,On,On
704,22.1,On,On
705,22.09,On,On
706,22.09,On,On
707,22.1,On,On
708,22.11,On,On
709,22.11,On,On
710,22.1,On,On
711,22.1,On,On
712,22.14,On,On
713,22.15,On,On
714,22.12,On,On
715,22.14,On,On
716,22.13,On,On
717,22.15,On,On
718,22.13,On,On
719,22.12,On,On
720,22.14,On,On
721,22.14,On,On
722,22.13,On,On
723,22.13,On,On
724,22.12,On,On
725,22.11,On,On
726,22.12,On,On
727,22.09,On,On
728,22.1,On,On
729,22.09,On,On
730,22.11,On,On
731,22.11,On,On
732,22.09,On,On
733,22.08,On,On
734,22.08,On,On
735,22.08,On,On
736,22.08,On,On
737,22.09,On,On
738,22.08,On,On
739,22.07,On,On
740,22.09,On,On
741,22.06,On,On
742,22.09,On,On
743,22.09,On,On
744,22.06,On,On
745,22.07,On,On
746,22.07,On,On
747,22.07,On,On
748,22.06,On,On
749,22.04,On,On
750,22.06,On,On
751,22.08,On,On
752,22.04,On,On
753,22.01,On,On
754,22.02,On,On
755,22.02,On,On
756,22.03,On,On
757,22.04,On,On
758,22.03,On,On
759,22.03,On,On
760,21.99,On,On
761,22,On,On
762,22.02,On,On
763,22.02,On,On
764,22,On,On
765,21.99,On,On
766,22,On,On
767,21.98,On,On
768,21.98,On,On
769,21.96,On,On
770,21.95,On,On
771,21.96,On,On
772,21.94,On,On
773,21.96,On,On
774,21.99,On,On
775,22,On,On
776,22.01,On,On
777,22.03,On,On
778,22.09,On,On
779,22.07,On,On
780,22.08,On,On
781,22.07,On,On
782,22.11,On,On
783,22.11,On,On
784,22.13,On,On
785,22.09,On,On
786,22.07,On,On
787,22.06,On,On
788,22.08,On,On
789,22.09,On,On
790,22.08,On,On
791,22.1,On,On
792,22.1,On,On
793,22.11,On,On
794,22.1,On,On
795,22.07,On,On
796,22.05,On,On
797,22.05,On,On
798,22.06,On,On
799,22.11,On,On
800,22.07,On,On
801,22.03,On,On
802,22.06,On,On
803,22.03,On,On
804,22.04,On,On
805,22.07,On,On
806,22.05,On,On
807,22.06,On,On
808,22.04,On,On
809,22.04,On,On
810,22.06,On,On
811,22.08,On,On
812,22.09,On,On
813,22.09,On,On
814,22.1,On,On
815,22.12,On,On
816,22.12,On,On
817,22.09,On,On
818,22.08,On,On
819,22.05,On,On
820,22.03,On,On
821,22.02,On,On
822,22.02,On,On
823,22.03,On,On
824,22.05,On,On
825,22.05,On,On
826,22.08,On,On
827,22.1,On,On
828,22.09,On,On
829,22.09,On,On
830,22.11,On,On
831,22.09,On,On
832,22.09,On,On
833,22.11,On,On
834,22.08,On,On
835,22.07,On,On
836,22.05,On,On
837,22.06,On,On
838,22.05,On,On
839,22.06,On,On
840,22.07,On,On
841,22.06,On,On
842,22.05,On,On
843,22.06,On,On
844,22.05,On,On
845,22.02,On,On
846,22.04,On,On
847,22.07,On,On
848,22.05,On,On
849,22.06,On,On
850,22.08,On,On
851,22.05,On,On
852,22.04,On,On
853,22.06,On,On
854,22.08,On,On
855,22.06,On,On
856,22.02,On,On
857,22.03,On,On
858,22.02,On,On
859,22.03,On,On
860,22.02,On,On
861,22.01,On,On
862,21.98,On,On
863,21.95,On,On
864,21.94,On,On
865,21.94,On,On
866,21.94,On,On
867,21.93,On,On
868,21.93,On,On
869,21.93,On,On
870,21.9,On,On
871,21.89,On,On
872,21.89,On,On
873,21.9,On,On
874,21.9,On,On
875,21.9,On,On
876,21.9,On,On
877,21.92,On,On
878,21.89,On,On
879,21.86,On,On
880,21.85,On,On
881,21.83,On,On
882,21.84,On,On
883,21.86,On,On
884,21.84,On,On
885,21.81,On,On
886,21.82,On,On
887,21.85,On,On
888,21.86,On,On
889,21.83,On,On
890,21.83,On,On
891,21.86,On,On
892,21.85,On,On
893,21.86,On,On
894,21.86,On,On
895,21.88,On,On
896,21.87,On,On
897,21.89,On,On
898,21.87,On,On
899,21.91,On,On
900,21.88,On,On
901,21.88,On,On
902,21.88,On,On
903,21.89,On,On
904,21.85,On,On
905,21.84,On,On
906,21.86,On,On
907,21.85,On,On
908,21.85,On,On
909,21.9,On,On
910,21.94,On,On
911,21.9,On,On
912,21.88,On,On
913,21.86,On,On
914,21.84,On,On
915,21.84,On,On
916,21.84,On,On
917,21.83,On,On
918,21.83,On,On
919,21.8,On,On
920,21.81,On,On
921,21.8,On,On
922,21.81,On,On
923,21.78,On,On
924,21.81,On,On
925,21.83,On,On
926,21.79,On,On
927,21.78,On,On
928,21.78,On,On
929,21.77,On,On
930,21.78,On,On
931,21.75,On,On
932,21.74,On,On
933,21.73,On,On
934,21.71,On,On
935,21.7,On,On
936,21.71,On,On
937,21.72,On,On
938,21.74,On,On
939,21.74,On,On
940,21.74,On,On
941,21.75,On,On
942,21.73,On,On
943,21.72,On,On
944,21.75,On,On
945,21.79,On,On
946,21.8,On,On
947,21.83,On,On
948,21.84,On,On
949,21.85,On,On
950,21.84,On,On
951,21.81,On,On
952,21.8,On,On
953,21.82,On,On
954,21.82,On,On
955,21.82,On,On
956,21.85,On,On
957,21.85,On,On
958,21.87,On,On
959,21.87,On,On
960,21.89,On,On
961,21.86,On,On
962,21.87,On,On
963,21.89,On,On
964,21.9,On,On
965,21.87,On,On
966,21.85,On,On
967,21.85,On,On
968,21.86,On,On
969,21.88,On,On
970,21.88,On,On
971,21.88,On,On
972,21.91,On,On
973,21.92,On,On
974,21.95,On,On
975,21.95,On,On
976,21.96,On,On
977,21.97,On,On
978,22,On,On
979,22.02,On,On
980,22.02,On,On
981,22,On,On
982,22.02,On,On
983,22.05,On,On
984,22.02,On,On
985,22.05,On,On
986,22.04,On,On
987,22.02,On,On
988,21.99,On,On
989,21.97,On,On
990,21.97,On,On
991,21.93,On,On
992,21.93,On,On
993,21.93,On,On
994,21.93,On,On
995,21.94,On,On
996,21.9,On,On
997,21.88,On,On
998,21.88,On,On
999,21.86,On,On
1000,21.86,On,On
1001,21.8,On,On
1002,21.8,On,On
1003,21.81,On,On
1004,21.82,On,On
1005,21.86,On,On
1006,21.85,On,On
1007,21.82,On,On
1008,21.82,On,On
1009,21.84,On,On
1010,21.83,On,On
1011,21.82,On,On
1012,21.82,On,On
1013,21.83,On,On
1014,21.81,On,On
1015,21.84,On,On
1016,21.87,On,On
1017,21.86,On,On
1018,21.89,On,On
1019,21.91,On,On
1020,21.89,On,On
1021,21.91,On,On
1022,21.88,On,On
1023,21.91,On,On
1024,21.9,On,On
1025,21.88,On,On
1026,21.87,On,On
1027,21.9,On,On
1028,21.88,On,On
1029,21.9,On,On
1030,21.92,On,On
1031,21.95,On,On
1032,21.98,On,On
1033,22.01,On,On
1034,22.01,On,On
1035,21.99,On,On
1036,22.02,On,On
1037,22.04,On,On
1038,22.05,On,On
1039,22.05,On,On
1040,22.03,On,On
1041,22.05,On,On
1042,22.06,On,On
1043,22.07,On,On
1044,22.07,On,On
1045,22.07,On,On
1046,22.08,On,On
1047,22.08,On,On
1048,22.1,On,On
1049,22.1,On,On
1050,22.08,On,On
1051,22.05,On,On
1052,22.05,On,On
1053,22.07,On,On
1054,22.09,On,On
1055,22.08,On,On
1056,22.1,On,On
1057,22.09,On,On
1058,22.1,On,On
1059,22.12,On,On
1060,22.12,On,On
1061,22.17,On,On
1062,22.13,On,On
1063,22.13,On,On
1064,22.1,On,On
1065,22.05,On,On
1066,22.1,On,On
1067,22.09,On,On
1068,22.1,On,On
1069,22.09,On,On
1070,22.07,On,On
1071,22.1,On,On
1072,22.09,On,On
1073,22.08,On,On
1074,22.06,On,On
1075,22.06,On,On
1076,22.06,On,On
1077,22.05,On,On
1078,22.06,On,On
1079,22.07,On,On
1080,22.04,On,On
1081,22.04,On,On
1082,22.01,On,On
1083,21.99,On,On
1084,21.99,On,On
1085,22.02,On,On
1086,22.02,On,On
1087,21.98,On,On
1088,22,On,On
1089,22.02,On,On
1090,22.02,On,On
1091,22.01,On,On
1092,22.02,On,On
1093,22.01,On,On
1094,22.02,On,On
1095,22.01,On,On
1096,22.05,On,On
1097,22.05,On,On
1098,22.08,On,On
1099,22.07,On,On
1100,22.06,On,On
1101,22.08,On,On
1102,22.08,On,On
1103,22.09,On,On
1104,22.1,On,On
1105,22.08,On,On
1106,22.08,On,On
1107,22.08,On,On
1108,22.09,On,On
1109,22.11,On,On
1110,22.13,On,On
1111,22.12,On,On
1112,22.14,On,On
1113,22.12,On,On
1114,22.15,On,On
1115,22.12,On,On
1116,22.14,On,On
1117,22.15,On,On
1118,22.16,On,On
1119,22.19,On,On
1120,22.2,On,On
1121,22.18,On,On
1122,22.17,On,On
1123,22.18,On,On
1124,22.17,On,On
1125,22.18,On,On
1126,22.17,On,On
1127,22.16,On,On
1128,22.18,On,On
1129,22.18,On,On
1130,22.22,On,On
1131,22.21,On,On
1132,22.23,On,On
1133,22.22,On,On
1134,22.26,On,On
1135,22.27,On,On
1136,22.3,On,On
1137,22.3,On,On
1138,22.31,On,On
1139,22.34,On,On
1140,22.36,On,On
1141,22.36,On,On
1142,22.38,On,On
1143,22.37,On,On
1144,22.36,On,On
1145,22.38,On,On
1146,22.39,On,On
1147,22.42,On,On
1148,22.44,On,On
1149,22.46,On,On
1150,22.44,On,On
1151,22.44,On,On
1152,22.43,On,On
1153,22.41,On,On
1154,22.4,On,On
1155,22.45,On,On
1156,22.47,On,On
1157,22.47,On,On
1158,22.47,On,On
1159,22.47,On,On
1160,22.47,On,On
1161,22.47,On,On
1162,22.46,On,On
1163,22.42,On,On
1164,22.43,On,On
1165,22.43,On,On
1166,22.4,On,On
1167,22.4,On,On
1168,22.43,On,On
1169,22.42,On,On
1170,22.45,On,On
1171,22.46,On,On
1172,22.46,On,On
1173,22.49,On,On
1174,22.49,On,On
1175,22.49,On,On
1176,22.49,On,On
1177,22.49,On,On
1178,22.47,On,On
1179,22.44,On,On
1180,22.44,On,On
1181,22.48,On,On
1182,22.5,On,On
1183,22.47,On,On
1184,22.51,On,On
1185,22.52,On,On
1186,22.51,On,On
1187,22.49,On,On
1188,22.48,On,On
1189,22.49,On,On
1190,22.47,On,On
1191,22.47,On,On
1192,22.48,On,On
1193,22.52,On,On
1194,22.53,On,On
1195,22.52,On,On
1196,22.55,On,On
1197,22.58,On,On
1198,22.58,On,On
1199,22.6,On,On
1200,22.63,On,On
1201,22.64,On,On
1202,22.63,On,On
1203,22.65,On,On
1204,22.65,On,On
1205,22.66,On,On
1206,22.65,On,On
1207,22.67,On,On
1208,22.67,On,On
1209,22.67,On,On
1210,22.66,On,On
1211,22.68,On,On
1212,22.66,On,On
1213,22.66,On,On
1214,22.71,On,On
1215,22.71,On,On
1216,22.76,On,On
1217,22.76,On,On
1218,22.76,On,On
1219,22.76,On,On
1220,22.72,On,On
1221,22.71,On,On
1222,22.69,On,On
1223,22.72,On,On
1224,22.72,On,On
1225,22.74,On,On
1226,22.74,On,On
1227,22.78,On,On
1228,22.8,On,On
1229,22.84,On,On
1230,22.89,On,On
1231,22.9,On,On
1232,22.87,On,On
1233,22.89,On,On
1234,22.89,On,On
1235,22.86,On,On
1236,22.88,On,On
1237,22.88,On,On
1238,22.89,On,On
1239,22.92,On,On
1240,22.93,On,On
1241,22.89,On,On
1242,22.92,On,On
1243,22.94,On,On
1244,22.95,On,On
1245,22.9,On,On
1246,22.9,On,On
1247,22.87,On,On
1248,22.86,On,On
1249,22.85,On,On
1250,22.87,On,On
1251,22.87,On,On
1252,22.86,On,On
1253,22.87,On,On
1254,22.88,On,On
1255,22.91,On,On
1256,22.91,On,On
1257,22.89,On,On
1258,22.93,On,On
1259,22.95,On,On
1260,22.93,On,On
1261,22.94,On,On
1262,22.93,On,On
1263,22.91,On,On
1264,22.88,On,On
1265,22.92,On,On
1266,22.94,On,On
1267,22.96,On,On
1268,22.96,On,On
1269,22.98,On,On
1270,22.96,On,On
1271,22.99,On,On
1272,23.01,On,On
1273,23.04,On,On
1274,23.06,On,On
1275,23.09,On,On
1276,23.07,On,On
1277,23.08,On,On
1278,23.1,On,On
1279,23.11,On,On
1280,23.13,On,On
1281,23.13,On,On
1282,23.14,On,On
1283,23.12,On,On
1284,23.14,On,On
1285,23.17,On,On
1286,23.14,On,On
1287,23.13,On,On
1288,23.12,On,On
1289,23.1,On,On
1290,23.08,On,On
1291,23.1,On,On
1292,23.14,On,On
1293,23.17,On,On
1294,23.21,On,On
1295,23.21,On,On
1296,23.19,On,On
1297,23.14,On,On
1298,23.16,On,On
1299,23.21,On,On
1300,23.23,On,On
